Time, StartPointBuffer, EndPointBuffer
0.000000, 1372.000000, 0.000000
0.040000, 1695.000000, 0.000000
0.080000, 1954.000000, 0.000000
0.120000, 2891.000000, 0.000000
0.160000, 3189.000000, 0.000000
0.200000, 3514.000000, 0.000000
0.240000, 3851.000000, 0.000000
0.280000, 4155.000000, 0.000000
0.320000, 4481.000000, 0.000000
0.360000, 4797.000000, 0.000000
0.400000, 5113.000000, 0.000000
0.440000, 5440.000000, 0.000000
0.480000, 5763.000000, 0.000000
0.520000, 6087.000000, 0.000000
0.560000, 6429.000000, 0.000000
0.600000, 6772.000000, 0.000000
0.640000, 7101.000000, 0.000000
0.680000, 7399.000000, 0.000000
0.720000, 7714.000000, 0.000000
0.760000, 7995.000000, 0.000000
0.800000, 8308.000000, 0.000000
0.840000, 8576.000000, 0.000000
0.880000, 8907.000000, 0.000000
0.920000, 9237.000000, 0.000000
0.960000, 9593.000000, 0.000000
1.000000, 9910.000000, 0.000000
1.040000, 9932.375000, 319.625000
1.080000, 9912.750000, 639.250000
1.120000, 9907.125000, 958.875000
1.160000, 9858.500000, 1278.500000
1.200000, 9802.875000, 1598.125000
1.240000, 9765.250000, 1917.750000
1.280000, 9721.625000, 2237.375000
1.320000, 9717.000000, 2557.000000
1.360000, 9992.000000, 2557.000000
1.400000, 9970.375000, 2876.625000
1.440000, 9920.750000, 3196.250000
1.480000, 9894.125000, 3515.875000
1.520000, 9866.500000, 3835.500000
1.560000, 9833.875000, 4155.125000
1.600000, 9804.250000, 4474.750000
1.640000, 9777.625000, 4794.375000
1.680000, 9808.000000, 5114.000000
1.720000, 9814.375000, 5433.625000
1.760000, 9872.750000, 5753.250000
1.800000, 9915.125000, 6072.875000
1.840000, 9951.500000, 6392.500000
1.880000, 9966.875000, 6712.125000
1.920000, 9969.250000, 7031.750000
1.960000, 9959.625000, 7351.375000
2.000000, 9945.000000, 7671.000000
2.040000, 9938.375000, 7990.625000
2.080000, 9907.750000, 8310.250000
2.120000, 9933.125000, 8629.875000
2.160000, 9935.500000, 8949.500000
2.200000, 9975.875000, 9269.125000
2.240000, 9962.250000, 9588.750000
2.280000, 9980.625000, 9908.375000
2.320000, 10019.000000, 9905.000000
2.360000, 10049.375000, 9965.625000
2.400000, 10080.750000, 9348.250000
2.440000, 10083.125000, 9667.875000
2.480000, 10110.500000, 9987.500000
2.520000, 10109.875000, 10009.125000
2.560000, 10118.250000, 10003.750000
2.600000, 10127.625000, 9986.375000
2.640000, 10134.000000, 10002.000000
2.680000, 10129.375000, 9995.625000
2.720000, 10142.750000, 9999.250000
2.760000, 10167.125000, 10002.875000
2.800000, 10165.500000, 9995.500000
2.840000, 10203.875000, 9992.125000
2.880000, 10217.250000, 9987.750000
2.920000, 10298.625000, 9965.375000
2.960000, 10339.000000, 9942.000000
3.000000, 10371.375000, 9932.625000
3.040000, 10376.750000, 9954.250000
3.080000, 10377.125000, 9958.875000
3.120000, 10368.500000, 9997.500000
3.160000, 10673.875000, 10004.125000
3.200000, 10668.250000, 10055.750000
3.240000, 10671.625000, 10044.375000
3.280000, 10665.000000, 10034.000000
3.320000, 10599.375000, 9997.625000
3.360000, 10494.750000, 10000.250000
3.400000, 10407.125000, 9977.875000
3.440000, 10308.500000, 9997.500000
3.480000, 10214.875000, 10003.125000
3.520000, 10111.250000, 10051.750000
3.560000, 10009.625000, 10107.375000
3.600000, 9909.000000, 10145.000000
3.640000, 9811.375000, 10188.625000
3.680000, 9705.750000, 10193.250000
3.720000, 9926.750000, 9918.250000
3.760000, 9821.125000, 9939.875000
3.800000, 9721.500000, 9989.500000
3.840000, 9949.500000, 9989.500000
3.880000, 9890.875000, 10016.125000
3.920000, 9874.250000, 10043.750000
3.960000, 9810.625000, 10076.375000
4.000000, 9787.000000, 10106.000000
4.040000, 9772.375000, 10132.625000
4.080000, 9750.750000, 10102.250000
4.120000, 9766.125000, 10095.875000
4.160000, 9750.500000, 10037.500000
4.200000, 9702.875000, 9995.125000
4.240000, 9731.250000, 9958.750000
4.280000, 9713.625000, 9943.375000
4.320000, 9710.000000, 9941.000000
4.360000, 9707.375000, 9950.625000
4.400000, 9691.750000, 9965.250000
4.440000, 9730.125000, 9971.875000
4.480000, 9705.500000, 10002.500000
4.520000, 9687.875000, 9977.125000
4.560000, 9686.250000, 9974.750000
4.600000, 9723.625000, 9934.375000
4.640000, 9996.625000, 9934.375000
4.680000, 10044.000000, 9948.000000
4.720000, 10019.375000, 9929.625000
4.760000, 10013.750000, 9891.250000
4.800000, 10010.125000, 9860.875000
4.840000, 10005.500000, 9829.500000
4.880000, 10024.875000, 9827.125000
4.920000, 10006.250000, 9799.750000
4.960000, 10040.625000, 9800.375000
5.000000, 10017.000000, 9792.000000
5.040000, 10004.375000, 9782.625000
5.080000, 10026.750000, 9776.250000
5.120000, 10002.125000, 9780.875000
5.160000, 10002.500000, 9767.500000
5.200000, 9990.875000, 9743.125000
5.240000, 9994.250000, 9744.750000
5.280000, 10025.625000, 9706.375000
5.320000, 10299.000000, 9693.000000
5.360000, 10175.375000, 9611.625000
5.400000, 10073.750000, 9931.250000
5.440000, 10057.125000, 9890.875000
5.480000, 10040.500000, 9858.500000
5.520000, 10036.875000, 9853.125000
5.560000, 10035.250000, 9852.750000
5.600000, 10014.625000, 9861.375000
5.640000, 10025.000000, 9556.000000
5.680000, 10044.375000, 9875.625000
5.720000, 10028.750000, 9881.250000
5.760000, 10022.125000, 9877.875000
5.800000, 10021.500000, 9884.500000
5.840000, 10029.875000, 9950.125000
5.880000, 10019.250000, 10054.750000
5.920000, 9997.625000, 10142.375000
5.960000, 10040.000000, 10241.000000
6.000000, 10030.375000, 10334.625000
6.040000, 10060.750000, 10438.250000
6.080000, 10064.125000, 10539.875000
6.120000, 10036.500000, 10640.500000
6.160000, 10063.875000, 10738.125000
6.200000, 10065.250000, 10843.750000
6.240000, 10073.625000, 10942.375000
6.280000, 10043.000000, 11048.000000
6.320000, 10032.375000, 11147.625000
6.360000, 10025.750000, 11239.250000
6.400000, 10026.125000, 11297.875000
6.440000, 10019.500000, 11314.500000
6.480000, 10062.875000, 11378.125000
6.520000, 10067.250000, 11401.750000
6.560000, 10070.625000, 11416.375000
6.600000, 10108.000000, 11438.000000
6.640000, 10069.375000, 11422.625000
6.680000, 10050.750000, 11438.250000
6.720000, 10044.125000, 11485.875000
6.760000, 10062.500000, 11457.500000
6.800000, 10058.875000, 11475.125000
6.840000, 10049.250000, 11478.750000
6.880000, 10091.625000, 11481.375000
6.920000, 10086.000000, 11497.000000
