Time, StartPointBuffer, EndPointBuffer
0.000000, 0.000000, 0.000000
0.040000, 0.000000, 0.000000
0.080000, 1432.000000, 0.000000
0.120000, 1856.000000, 0.000000
0.160000, 2208.000000, 0.000000
0.200000, 2781.000000, 0.000000
0.240000, 3186.000000, 0.000000
0.280000, 3569.000000, 0.000000
0.320000, 3993.000000, 0.000000
0.360000, 4334.000000, 0.000000
0.400000, 4788.000000, 0.000000
0.440000, 4754.600098, 433.399994
0.480000, 4754.200195, 866.799988
0.520000, 4636.800293, 1300.199951
0.560000, 4956.800293, 1300.199951
0.600000, 4844.400391, 1733.599976
0.640000, 4730.000488, 2167.000000
0.680000, 4618.600586, 2600.399902
0.720000, 4938.600586, 2600.399902
0.760000, 4824.200684, 3033.799805
0.800000, 4792.800781, 3386.199707
0.840000, 4755.400879, 3738.599609
0.880000, 4706.000977, 4090.999512
0.920000, 4683.601074, 4443.399414
0.960000, 4668.201172, 4795.799316
1.000000, 4992.201172, 4795.799316
1.040000, 4948.801270, 5148.199219
1.080000, 4908.401367, 4068.599121
1.120000, 4876.001465, 4420.999023
1.160000, 4846.601563, 4773.398926
1.200000, 4851.201660, 4668.798828
1.240000, 4860.801758, 4988.198730
1.280000, 4861.401855, 4955.598633
1.320000, 4850.001953, 4701.998535
1.360000, 4839.602051, 4616.398438
1.400000, 4840.202148, 4935.798340
1.440000, 4846.802246, 4872.198242
1.480000, 4845.402344, 4767.598145
1.520000, 4851.002441, 4745.998047
1.560000, 4852.602539, 4611.397949
1.600000, 4846.602539, 4931.397949
1.640000, 4847.602539, 4851.397949
1.680000, 4845.602539, 4738.397949
1.720000, 4847.602539, 4742.397949
1.760000, 4845.602539, 4742.397949
1.800000, 4860.602539, 4741.397949
1.840000, 4845.602539, 4742.397949
1.880000, 4846.602539, 4740.397949
1.920000, 4844.602539, 4740.397949
1.960000, 4842.602539, 4741.397949
2.000000, 4844.602539, 4739.397949
2.040000, 4846.602539, 4743.397949
2.080000, 4846.602539, 4759.397949
2.120000, 4852.602539, 4748.397949
2.160000, 4845.602539, 4730.397949
2.200000, 4855.602539, 4725.397949
2.240000, 4837.602539, 4735.397949
2.280000, 4806.602539, 4742.397949
2.320000, 4811.602539, 4741.397949
2.360000, 4789.602539, 4737.397949
2.400000, 4793.902344, 4727.098145
2.440000, 4780.202148, 4711.798340
2.480000, 4754.501953, 4705.498535
2.520000, 4716.801758, 4711.198730
2.560000, 4692.101563, 4715.898926
2.600000, 4975.101563, 4715.898926
2.640000, 4934.401367, 4709.599121
2.680000, 4905.701172, 4697.299316
2.720000, 4875.000977, 4692.999512
